estimate,m,αᵢ,π,only_firstclass
0.186,10,0.1,0.0,true
0.007,10,0.1,0.0,true
0.158,10,0.1,0.0,true
0.399,10,0.1,0.0,true
0.226,10,0.1,0.0,true
0.727,10,0.1,0.0,true
0.364,10,0.1,0.0,true
0.51,10,0.1,0.0,true
0.191,10,0.1,0.0,true
0.714,10,0.1,0.0,true
0.119,10,0.1,0.0,true
0.09,10,0.1,0.0,true
0.368,10,0.1,0.0,true
0.011,10,0.1,0.0,true
0.293,10,0.1,0.0,true
0.42,10,0.1,0.0,true
0.941,10,0.1,0.0,true
0.182,10,0.1,0.0,true
0.206,10,0.1,0.0,true
0.369,10,0.1,0.0,true
0.021,10,0.1,0.0,true
0.118,10,0.1,0.0,true
0.419,10,0.1,0.0,true
0.526,10,0.1,0.0,true
0.094,10,0.1,0.0,true
0.673,10,0.1,0.0,true
0.052,10,0.1,0.0,true
0.123,10,0.1,0.0,true
0.096,10,0.1,0.0,true
0.353,10,0.1,0.0,true
0.53,10,0.1,0.0,true
0.127,10,0.1,0.0,true
0.094,10,0.1,0.0,true
0.364,10,0.1,0.0,true
0.322,10,0.1,0.0,true
0.24,10,0.1,0.0,true
0.107,10,0.1,0.0,true
0.051,10,0.1,0.0,true
0.127,10,0.1,0.0,true
0.531,10,0.1,0.0,true
0.708,10,0.1,0.0,true
0.613,10,0.1,0.0,true
0.243,10,0.1,0.0,true
0.005,10,0.1,0.0,true
0.499,10,0.1,0.0,true
0.046,10,0.1,0.0,true
0.066,10,0.1,0.0,true
0.217,10,0.1,0.0,true
0.096,10,0.1,0.0,true
0.051,10,0.1,0.0,true
0.003,10,0.1,0.0,true
0.193,10,0.1,0.0,true
0.172,10,0.1,0.0,true
0.263,10,0.1,0.0,true
0.847,10,0.1,0.0,true
0.031,10,0.1,0.0,true
0.229,10,0.1,0.0,true
0.058,10,0.1,0.0,true
0.344,10,0.1,0.0,true
0.435,10,0.1,0.0,true
0.182,10,0.1,0.0,true
0.095,10,0.1,0.0,true
0.156,10,0.1,0.0,true
0.476,10,0.1,0.0,true
0.004,10,0.1,0.0,true
0.034,10,0.1,0.0,true
